wingRegion,Image,tricomeCount
11,KP_EF_R3_01.tif,80
12,KP_EF_R3_01.tif,82
13,KP_EF_R3_01.tif,93
14,KP_EF_R3_01.tif,101
15,KP_EF_R3_01.tif,64
16,KP_EF_R3_01.tif,86
1,KP_EF_R3_10.tif,64
2,KP_EF_R3_10.tif,66
3,KP_EF_R3_10.tif,79
4,KP_EF_R3_10.tif,53
5,KP_EF_R3_10.tif,75
6,KP_EF_R3_10.tif,64
7,KP_EF_R3_10.tif,80
8,KP_EF_R3_10.tif,77
9,KP_EF_R3_10.tif,87
10,KP_EF_R3_10.tif,82
11,KP_EF_R3_10.tif,77
12,KP_EF_R3_10.tif,57
13,KP_EF_R3_10.tif,68
14,KP_EF_R3_10.tif,73
15,KP_EF_R3_10.tif,61
16,KP_EF_R3_10.tif,70
1,KP_EF_R3_09.tif,65
2,KP_EF_R3_09.tif,64
3,KP_EF_R3_09.tif,83
4,KP_EF_R3_09.tif,75
5,KP_EF_R3_09.tif,65
6,KP_EF_R3_09.tif,70
7,KP_EF_R3_09.tif,70
8,KP_EF_R3_09.tif,76
9,KP_EF_R3_09.tif,87
10,KP_EF_R3_09.tif,74
11,KP_EF_R3_09.tif,66
12,KP_EF_R3_09.tif,72
13,KP_EF_R3_09.tif,79
14,KP_EF_R3_09.tif,68
15,KP_EF_R3_09.tif,65
16,KP_EF_R3_09.tif,77
1,KP_EF_R3_08.tif,70
2,KP_EF_R3_08.tif,68
3,KP_EF_R3_08.tif,77
4,KP_EF_R3_08.tif,78
5,KP_EF_R3_08.tif,76
6,KP_EF_R3_08.tif,69
7,KP_EF_R3_08.tif,80
8,KP_EF_R3_08.tif,97
9,KP_EF_R3_08.tif,92
10,KP_EF_R3_08.tif,98
11,KP_EF_R3_08.tif,82
12,KP_EF_R3_08.tif,88
13,KP_EF_R3_08.tif,74
14,KP_EF_R3_08.tif,72
15,KP_EF_R3_08.tif,67
16,KP_EF_R3_08.tif,71
1,KP_EF_R3_07.tif,63
2,KP_EF_R3_07.tif,73
3,KP_EF_R3_07.tif,90
4,KP_EF_R3_07.tif,76
5,KP_EF_R3_07.tif,70
6,KP_EF_R3_07.tif,72
7,KP_EF_R3_07.tif,78
8,KP_EF_R3_07.tif,84
9,KP_EF_R3_07.tif,88
10,KP_EF_R3_07.tif,86
11,KP_EF_R3_07.tif,79
12,KP_EF_R3_07.tif,84
13,KP_EF_R3_07.tif,92
14,KP_EF_R3_07.tif,79
15,KP_EF_R3_07.tif,81
16,KP_EF_R3_07.tif,75
1,KP_EF_R3_06.tif,63
2,KP_EF_R3_06.tif,66
3,KP_EF_R3_06.tif,72
4,KP_EF_R3_06.tif,62
5,KP_EF_R3_06.tif,68
6,KP_EF_R3_06.tif,64
7,KP_EF_R3_06.tif,67
8,KP_EF_R3_06.tif,71
9,KP_EF_R3_06.tif,84
10,KP_EF_R3_06.tif,88
11,KP_EF_R3_06.tif,80
12,KP_EF_R3_06.tif,74
13,KP_EF_R3_06.tif,77
14,KP_EF_R3_06.tif,68
15,KP_EF_R3_06.tif,61
16,KP_EF_R3_06.tif,78
1,KP_EF_R3_15.tif,65
2,KP_EF_R3_15.tif,69
3,KP_EF_R3_15.tif,76
4,KP_EF_R3_15.tif,66
5,KP_EF_R3_15.tif,78
6,KP_EF_R3_15.tif,69
7,KP_EF_R3_15.tif,77
8,KP_EF_R3_15.tif,89
9,KP_EF_R3_15.tif,93
10,KP_EF_R3_15.tif,83
11,KP_EF_R3_15.tif,67
12,KP_EF_R3_15.tif,76
13,KP_EF_R3_15.tif,81
14,KP_EF_R3_15.tif,73
15,KP_EF_R3_15.tif,65
16,KP_EF_R3_15.tif,78
1,KP_EF_R3_14.tif,67
2,KP_EF_R3_14.tif,62
3,KP_EF_R3_14.tif,80
4,KP_EF_R3_14.tif,71
5,KP_EF_R3_14.tif,70
6,KP_EF_R3_14.tif,81
7,KP_EF_R3_14.tif,80
8,KP_EF_R3_14.tif,74
9,KP_EF_R3_14.tif,85
10,KP_EF_R3_14.tif,82
11,KP_EF_R3_14.tif,70
12,KP_EF_R3_14.tif,79
13,KP_EF_R3_14.tif,77
14,KP_EF_R3_14.tif,75
