"","log_area_z","sex","cross","fit","se","lower","upper"
"157",-2.8,"m","Zi418Ef43",0.0858091095549373,0.0399292555489229,0.0334544658624634,0.202897017890415
"158",-2.6,"m","Zi418Ef43",0.0926150389473785,0.0391440224403356,0.0393523685780744,0.202752522554921
"159",-2.5,"m","Zi418Ef43",0.096196780243893,0.0386292036852893,0.0426542440585088,0.202717820373881
"160",-2.4,"m","Zi418Ef43",0.0999017891056945,0.0380289326389313,0.0462116256238435,0.20271322145835
"161",-2.3,"m","Zi418Ef43",0.103733117969282,0.0373406564999654,0.050039914585854,0.202743534623788
"162",-2.2,"m","Zi418Ef43",0.107693801642723,0.0365623223660195,0.0541544154542249,0.202814631938054
"163",-2,"m","Zi418Ef43",0.116015231502297,0.034730846865739,0.0633006348003983,0.203109884270352
"164",-1.9,"m","Zi418Ef43",0.12038187760533,0.033677927757478,0.0683587803035612,0.203354350385371
"165",-1.8,"m","Zi418Ef43",0.124889657949555,0.0325360998518191,0.0737545134789243,0.203681515855156
"166",-1.7,"m","Zi418Ef43",0.129541376442117,0.0313098254820331,0.079494372583997,0.204109841980457
"167",-1.6,"m","Zi418Ef43",0.134339758178078,0.0300064829845888,0.0855797480582904,0.204663323998873
"168",-1.4,"m","Zi418Ef43",0.144386943942524,0.0272194598834807,0.0987527101712137,0.206282334451047
"169",-1.3,"m","Zi418Ef43",0.149640691616836,0.0257768696287441,0.105792854746358,0.207446026474178
"170",-1.2,"m","Zi418Ef43",0.155050962855303,0.0243441523007818,0.113073844207305,0.208940397383553
"171",-1.1,"m","Zi418Ef43",0.16061989537004,0.0229694551337375,0.120517181655874,0.210867503178582
"172",-0.97,"m","Zi418Ef43",0.168099938297764,0.0213793889684435,0.130244689721353,0.214247448481376
"173",-0.85,"m","Zi418Ef43",0.175248919557382,0.0202663347451595,0.138991429312614,0.21856366579525
"174",-0.73,"m","Zi418Ef43",0.182635186489056,0.0196876139300229,0.147156035678262,0.224417424150496
"175",-0.61,"m","Zi418Ef43",0.190260948517679,0.0198326103536037,0.154383683317807,0.23218645106385
"176",-0.49,"m","Zi418Ef43",0.198127935881552,0.0208333859158575,0.160427550668044,0.242132789790599
"177",-0.37,"m","Zi418Ef43",0.206237361223777,0.0227217065280269,0.165233054818096,0.254317236491083
"178",-0.25,"m","Zi418Ef43",0.214589881655459,0.0254377073287352,0.168921178310358,0.268614727703842
"179",-0.13,"m","Zi418Ef43",0.223185561685006,0.02887575857179,0.171698951989517,0.284802673798927
"180",-0.012,"m","Zi418Ef43",0.231874550607645,0.0328544180562722,0.173747574725796,0.302332264489671
"181",0.11,"m","Zi418Ef43",0.241103482602374,0.0374964402787327,0.175332921345125,0.321914979805332
"182",0.23,"m","Zi418Ef43",0.250422576604334,0.0425124630082582,0.176499107626362,0.342432960551534
"183",0.35,"m","Zi418Ef43",0.259978475433351,0.0479178174111781,0.177373912616581,0.364029076199066
"184",0.47,"m","Zi418Ef43",0.269767785669184,0.0536679920024244,0.178027995270738,0.386550227329974
"185",0.59,"m","Zi418Ef43",0.27978634216256,0.0597266834957636,0.178512496525836,0.40985006950828
"186",0.7,"m","Zi418Ef43",0.289167187713363,0.0655249286471081,0.178839749265703,0.431769237644883
"187",0.82,"m","Zi418Ef43",0.299610596775035,0.0720909051269941,0.179095316328788,0.456158662417038
"188",0.94,"m","Zi418Ef43",0.310266546715665,0.0788825000382838,0.179265559718009,0.480905386659301
"189",1.1,"m","Zi418Ef43",0.324792334183148,0.0882451152001301,0.179387189343942,0.514205244187595
"190",1.2,"m","Zi418Ef43",0.334047576431596,0.0942510013236966,0.179413575794074,0.535056388238174
"191",1.3,"m","Zi418Ef43",0.343432410156805,0.100357860043539,0.179408334968613,0.555838753414661
"192",1.4,"m","Zi418Ef43",0.35294116964124,0.106550669953781,0.179375819556045,0.57647280130262
"193",1.5,"m","Zi418Ef43",0.362567818319894,0.112814097331251,0.179319642319249,0.596882232068267
"194",1.7,"m","Zi418Ef43",0.382148850415692,0.125489793415539,0.179147907333948,0.636743202254559
"195",1.8,"m","Zi418Ef43",0.392089415630868,0.13186974045056,0.179037047239873,0.656065511332494
"196",1.9,"m","Zi418Ef43",0.402120266357516,0.13825571798831,0.178912080311563,0.674905959826078
"197",2,"m","Zi418Ef43",0.412233719013999,0.144630900901892,0.178774581039534,0.693215231809598
"198",2.1,"m","Zi418Ef43",0.422421816901449,0.15097829508038,0.178625906330326,0.710950752685535
"199",2.3,"m","Zi418Ef43",0.442988897904602,0.16352131556451,0.178299578946516,0.744564544817981
"200",2.4,"m","Zi418Ef43",0.453350820860608,0.169682761366444,0.178123842750428,0.760391795780344
